brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Chickwich,"['American', 'Sandwiches']",OK,46,5,10,False
Bagel And Co,"['Breakfast', 'Healthy', 'Sandwiches']",Good,48,5,10,False
Talenti Gelato Ice Cream,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Good,42,5,10,False
"Arz Lebanon , Al Barsha 1","['Lebanese', 'Arabic', 'Breakfast']",Very good,50,0,50,False
Everyday Roastery Coffee,"['Cafe', 'Sandwiches', 'Breakfast']",Good,36,0,10,False
Yerevan cafe,"['International', 'Soups', 'Bakery']",Good,43,5,10,False
Junkyard,"['American', 'Burgers', 'Sandwiches']",Good,44,7,10,False
Tasty Bowl Restaurant,"['Indian', 'Asian']",Good,40,0,20,False
Bait Al Mandi,"['Grills', 'Mandi', 'Arabic']",Very good,46,7,10,False
Nirala,"['Pakistani', 'Snacks', 'Desserts']",NA,45,5,10,False
El Bakery,"['Lebanese', 'Sandwiches', 'Arabic']",Good,47,7,10,True
Seeds Of India,"['Beverages', 'Indian', 'Vegetarian']",OK,49,5,10,False
Exotica Restaurant,"['Chinese', 'Indian', 'Asian']",Good,52,3,10,False
Healthy & Yummy Zone Hayz,"['Healthy', 'Sandwiches', 'Breakfast']",Good,45,5,10,False
Aloha Acai,"['Breakfast', 'Desserts', 'Healthy']",Good,43,5,10,False
High Joint,"['American', 'Burgers', 'International']",Very good,48,3,10,False
Al Kabab Al Afghani,"['Arabic', 'Grills', 'Sandwiches']",NA,46,5,10,False
Biryani Box,"['Indian', 'Pakistani', 'Grills']",Very good,50,5,10,False
Taco Mercado,"['Mexican', 'Healthy']",Good,46,7,10,False
Pasta Broz,"['Italian', 'Pizza']",Very good,45,7,10,False
"Baskin Robbins, JBR","['Desserts', 'Cakes', 'Desserts']",Good,38,7,10,False
V Perfumes,"['Specialty', 'Store', 'Cosmetics']",Good,46,7,10,False
Bombay Bungalow,['Indian'],Good,47,7,10,False
Rainbow Sushi Rings,"['Asian', 'Japanese', 'Seafood']",NA,45,5,10,False
"PF Chang's, Jumeirah Beach Residence - JBR","['Asian', 'Chinese', 'Japanese']",Good,44,7,10,False
FRIES BEFORE GUYS - Better Burgers,"['Burgers', 'Fast', 'Food']",Very good,51,0,10,False
The Desi Inn,"['Pakistani', 'Vegetarian', 'Indian']",Good,47,5,10,False
"Operation:Falafel, Media City","['Arabic', 'Lebanese', 'Sandwiches']",Very good,35,7,0,False
Something Baked,"['Arabic', 'Breakfast', 'Sandwiches']",Very good,47,5,10,False
Massimo's Gelato,"['Desserts', 'Italian']",NA,47,7,10,True
Syrian Grills,"['Arabic', 'Grills', 'Healthy']",NA,47,7,10,True
Lebanese Grills,"['Healthy', 'Lebanese', 'Grills']",NA,47,7,10,True
"Pastel Cakes, Al Sufouh 2","['Specialty', 'Store', 'Cakes', 'Desserts', 'Bakery']",Very good,45,7,10,False
Caffe Nero,"['Cafe', 'Desserts', 'Beverages']",OK,45,3,10,False
Mo's Dessertz & Shakez,"['Beverages', 'Cakes', 'Desserts']",Very good,48,5,10,False
MedX Pharmacy,['Pharmacy'],Very good,43,7,10,False
Shawerme,"['Shawarma', 'Doner', 'Arabic']",Good,47,5,10,False
Asia Kitchen,"['Asian', 'Chinese', 'Japanese']",NA,47,5,10,False
Wasabi Sushi At Tapsi,"['Asian', 'Japanese', 'Seafood']",Very good,53,5,10,False
"PAUL Bakery & Restaurant , Ibn Batutta mall","['Breakfast', 'Desserts', 'Sandwiches']",Very good,54,0,10,False
Healthy Grills,"['Grills', 'Healthy', 'Salads']",Very good,52,7,10,False
Big Dogs,"['American', 'Desserts']",NA,48,5,10,False
Garrett Popcorn,"['Specialty', 'Store', 'Roastery']",Good,49,7,10,False
Salad Crave,"['Healthy', 'Sandwiches']",Very good,50,7,10,False
Al Kebab Factory,"['International', 'Arabic', 'Grills']",NA,52,7,10,True
Karakoy Gourmet,"['Grocery', 'Supermarket']",Very good,41,5,10,False
Le Duetto,"['Lebanese', 'Arabic', 'Shawarma', 'Doner']",Very good,51,7,10,False
Thai Wok,"['Thai', 'Asian', 'Chinese']",Good,45,5,0,False
Chinese Palace Restaurant,"['Chinese', 'Asian']",Very good,49,7,10,False
Chick N Co,"['American', 'Burgers', 'Sandwiches']",Good,54,5,10,False
ChickInn,['Grills'],Good,47,7,10,False
"Subway, JLT","['Sandwiches', 'Breakfast', 'Healthy']",Good,39,3,10,False
"Al Mallah, Ibn Battuta Mall","['Arabic', 'Breakfast', 'Lebanese']",Good,50,7,10,False
"BurgerFuel, Jumeirah Lakes Towers - JLT","['American', 'Burgers', 'Fast', 'Food']",Good,47,5,10,False
"Mamaesh, Meadows","['Breakfast', 'Arabic', 'Bakery']",Very good,50,7,10,True
THRIVE SALADS,"['Healthy', 'Sandwiches', 'Salads']",Good,48,7,10,False
2 For 1 Biryani,['Indian'],Good,45,6,0,False
Calorie Kitchen,['Healthy'],OK,47,5,10,True
Pasta 2 Go x Bouza Roll,"['International', 'Italian']",Good,48,3,10,False
Acai Beach,"['Desserts', 'Healthy', 'Nutrition']",Good,45,5,10,False
Pokai,"['Seafood', 'Salads', 'Healthy']",Good,47,7,10,False
Cake Social,"['Specialty', 'Store', 'Cakes', 'Desserts']",NA,48,5,10,False
China Garden,"['Chinese', 'Seafood']",Very good,40,0,50,False
Boots Pharmacy,['Pharmacy'],Amazing,48,7,10,False
Ranchero,"['Sandwiches', 'Beverages', 'Grills']",NA,48,7,10,False
Halo Halo Restaurant,"['Asian', 'Chinese', 'Indian']",NA,48,7,10,False
Something Avo,"['Beverages', 'Desserts', 'Vegetarian']",Amazing,47,7,10,False
Al dente Restaurant,"['Italian', 'Pizza', 'Desserts']",Very good,50,0,0,False
Pasta Presto,"['Italian', 'Pizza', 'International']",Good,47,5,10,False
"The Good Bowl, JBR","['Healthy', 'Vegetarian', 'Salads']",Good,43,5,10,False
Pink Imli- Indian Curry And Grill,"['Indian', 'Asian', 'Healthy']",Very good,49,5,10,False
Pizzetta,"['Pizza', 'Italian']",Good,51,5,10,False
Pizza & Co,"['Pizza', 'Fast', 'Food', 'Italian']",Good,51,5,10,False
